s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300301,c300319,c300327,c300335,c300343,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c301,c301010,c301028,c301036,c301044,c301051,c301069,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308080,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309310,c309336,c309344,c309351,c309997,c317115
2012,42,22269,2267,361,0,16,0,0,59,9,0,0,0,0,23,0,0,99,0,43,0,0,0,27,34,0,0,24,0,26,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,124,0,191,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,0,0,0,395,55,0,0,0,37,0,79,0,0,59,0,67,45,0,0,53,0,57,0,0,0,0,0,33,0,0,24,0,0,0,0,75,0,0,0,75,0,0,0,0,0,0,0,0,0,477,264,132,22,0,0,59,451,42,0,0,33,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,59,13085,1688,304,0,0,64,0,5,0,0,0,0,0,0,0,0,66,0,0,22,0,0,59,88,0,0,0,0,0,0,0,15,15,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,184,0,57,55,0,39,0,58,0,0,0,0,0,0,0,0,0,0,89,0,0,0,33,56,0,0,0,0,0,199,68,0,0,0,0,0,0,0,0,57,0,48,0,0,0,27,0,320,0,100,31,0,0,0,0,82,106,0,0,0,0,132,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,143,0,0,0,57,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,67,40016,4512,721,0,0,26,100,43,18,0,26,0,22,44,66,0,18,22,57,18,154,0,0,0,0,0,66,0,0,0,42,79,0,0,79,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,165,0,229,0,0,0,0,309,0,0,0,0,0,144,0,0,86,0,240,0,0,0,35,0,0,0,0,204,0,1061,274,0,0,54,68,144,76,0,37,95,0,100,127,0,0,85,0,209,42,0,0,0,0,9,0,0,143,14,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,988,0,890,0,0,0,98,246,0,0,0,51,0,0,37,0,0,35,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
2012,75,10472,1495,244,0,0,0,0,0,53,0,0,0,0,66,0,88,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,211,59,0,59,55,0,37,374,264,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,26,0,0,0,0,110,0,218,55,0,0,0,0,31,0,44,0,22,0,66,0,0,0,0,0,123,33,0,0,0,0,0,0,0,33,0,57,0,0,57,0,0,15,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,88,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2012,83,47818,5645,490,0,0,33,0,26,69,0,14,0,12,0,0,0,22,0,64,58,0,0,66,126,0,0,0,0,0,0,0,155,56,81,0,18,0,0,765,477,0,0,0,0,0,0,0,0,0,0,45,0,122,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,50,0,0,0,8,208,191,0,55,186,0,93,0,0,0,53,0,35,0,0,28,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2957,747,1715,312,86,0,97,397,68,0,176,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,14,22,0
2012,91,24593,2709,371,0,0,97,0,130,0,0,0,0,0,0,0,0,17,0,17,33,0,0,18,0,61,0,0,0,0,0,0,22,0,0,22,0,0,0,358,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,64,0,0,0,0,0,0,0,0,0,0,0,0,215,0,215,0,0,0,0,0,0,0,0,241,96,0,0,0,0,35,0,0,0,24,40,20,0,0,0,27,0,212,0,0,0,0,0,24,43,75,70,0,0,0,0,76,0,0,0,45,31,0,0,0,0,0,0,0,0,1156,0,519,367,66,0,204,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
2012,109,16466,1487,267,0,0,0,0,68,0,0,16,0,0,0,0,0,0,0,8,35,0,0,0,43,0,0,0,64,0,33,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,61,0,83,0,0,0,0,0,0,0,26,0,30,0,0,151,0,0,0,0,0,171,0,0,171,0,0,0,0,0,0,0,415,25,0,0,0,16,0,0,0,0,50,0,49,78,0,170,27,0,69,0,0,0,0,0,20,0,50,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,154,154,0,0,0,0,0,45,0,0,0,0,0,9,0,0,0,0,0,0,0,0,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,117,34749,2419,357,10,0,27,0,25,13,0,13,25,0,0,0,33,0,35,0,0,0,0,0,112,0,0,0,0,0,26,37,59,0,0,40,20,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,48,0,0,0,0,0,0,172,58,0,0,14,0,0,0,0,0,14,0,0,0,0,624,130,0,0,25,0,103,86,0,59,31,33,66,64,0,0,27,0,93,0,0,0,0,0,0,0,44,22,0,27,0,0,55,0,0,0,26,29,0,0,0,0,0,0,0,0,644,99,229,290,0,0,26,94,26,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2012,125,7201,1245,226,63,0,0,0,0,0,0,0,0,0,0,0,0,0,26,48,0,0,0,20,44,0,0,0,0,24,0,0,59,0,0,22,37,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,248,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,288,44,0,0,0,0,37,60,0,0,38,22,0,63,0,24,0,0,188,33,0,0,0,0,67,53,0,0,0,35,0,0,22,0,0,22,0,0,0,0,57,0,57,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
2012,133,23948,2246,224,16,0,0,10,0,22,0,0,0,0,0,0,0,55,40,61,20,0,0,0,0,0,0,0,0,0,0,0,70,0,29,0,18,24,0,139,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,56,39,0,0,0,39,0,0,0,0,0,0,198,0,0,0,0,0,15,31,0,0,0,44,43,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,0,0,0,123,70,0,0,0,0,53,1409,0,0,0,0,0,0,0,0,0,20,0,0,31,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,1056,0
