s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300251,c300269,c300277,c300285,c300293,c300301,c300319,c300327,c300335,c300343,c300350,c300368,c300376,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c300525,c300533,c301,c301010,c301028,c301036,c301044,c301051,c301069,c301077,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304220,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308080,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309310,c309336,c309344,c309351,c309369,c309997
2013,117,10518,1336,426,30,15,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,72,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,246,0,0,65,0,65,0,0,0,119,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,125,9412,1905,485,0,112,45,61,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,52,0,82,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,64,0,0,31,8,0,29,13,18,91,0,79,0,0,0,22,65,0,56,22,0,0,0,0,0,0,0,34,0,0,0,0,110,0,0,0,110,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,18,13906,1006,265,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,22,22,119,0,0,0,0,0,0,33,0,0,0,0,0,18,0,0,0,0,23,0,0,0,0,23,0,0,156,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,53,0,29,0,39,0,0,0,0,155,23,0,0,0,0,0,27,10,0,0,0,56,0,0,39,0,0,0,48,0,0,0,0,0,0,0,48,0,0,0,0,0,208,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
2013,26,12608,1289,250,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,43,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,205,0,0,0,0,29,64,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54,0,0,0,0,0,0,326,78,0,0,0,0,11,37,0,0,37,0,77,0,0,29,0,56,0,68,0,54,0,0,0,0,0,0,14,0,0,0,0,175,43,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,15,0,50,0,58,0,0,0,0,37,0,0,0,0,43,0,0,0,0,0,9,0,0,0,0
2013,34,18115,2597,314,52,0,0,65,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,311,0,0,0,0,73,78,972,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,130,0,0,0,0,0,0,361,204,0,0,0,0,0,89,0,0,0,0,68,0,0,0,0,0,0,243,202,0,0,0,0,30,0,0,0,0,11,0,0,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,19
2013,42,10984,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,223,0,0,0,0,0,0,0,0,125,44,0,0,0,0,0,28,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,23,0,44,0,0,0,70,15,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,59,8020,1085,176,0,0,0,0,22,0,0,25,0,0,0,26,0,0,0,0,0,32,22,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,24,52,63,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,21,0,32,0,0,0,0,0,64,0,0,94,0,0,0,0,121,0,112,17,0,0,32,0,0,21,41,0,0,0,0,0,0,0,0,0,0,0,0,0,217,217,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,15,0,17,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
2013,67,31081,3505,700,26,104,0,65,43,0,0,29,0,0,0,0,0,0,0,0,0,0,55,37,152,0,13,0,0,0,0,41,28,0,0,0,0,26,82,0,0,0,91,0,43,0,21,0,27,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,79,0,0,0,0,603,0,708,157,0,0,65,15,0,166,10,0,129,0,62,0,0,39,0,63,0,627,36,0,0,0,65,22,30,260,101,40,74,0,0,144,9,0,69,58,8,0,0,81,0,81,0,0,0,0,0,0,0,0,0,0,396,0,0,73,41,4,0,0,23,11,0,0,0,14,0,0,170,18,0,0,0,0,43,0,0,0,0,0,0,0,0
2013,75,14105,892,291,0,39,0,65,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,23,0,0,0,0,59,0,0,43,0,0,0,0,0,0,0,56,0,208,0,0,38,0,0,42,0,28,100,0,0,0,0,45,0,0,6,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,83,15977,1111,173,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,96,277,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,101,72,23,0,0,0,0,19,0,0,0,30,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,0,0,0,0,0,90,0,65,25,0,0,0,0,55,0,0,55,0,0,108,0,108,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
