s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300251,c300269,c300277,c300285,c300293,c300301,c300319,c300327,c300335,c300343,c300350,c300368,c300376,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c300525,c300533,c301,c301010,c301028,c301036,c301044,c301051,c301069,c301077,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304220,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308080,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309302,c309310,c309336,c309344,c309351,c309369,c309997
2015,133,6783,745,128,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,403,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,141,9630,1288,121,13,0,0,12,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,37,622,437,0,0,0,0,0,0,0,73,0,0,0,0,0,55,0,0,0,30,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,17,0,13,0,0,0,0,0,24,0,0,0,26,0,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,119,0,0,13,57,49,0,0,121,121,0,0,0,0,17,0,0,0,17,0,0,123,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,59
2015,59,25476,4651,1547,0,68,26,94,109,50,0,0,0,0,97,66,0,19,0,65,7,33,157,46,130,59,23,78,73,0,0,68,186,0,0,0,0,0,0,0,78,13,52,0,0,0,0,0,0,52,980,0,0,0,0,0,0,0,0,0,0,0,262,0,337,45,0,94,0,70,0,84,0,0,0,0,0,58,0,30,264,0,264,0,0,0,0,0,0,0,0,804,34,0,0,0,0,0,300,0,84,76,0,22,0,0,0,87,202,0,238,10,0,0,62,0,23,0,75,0,0,38,30,0,115,0,0,0,67,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,87,71,0,0,0,29,0,0,0,0,31,0,0,0,0,0,33,0,0,0,0,152,0,0,0,0,52,0,197
2015,67,6462,536,96,0,0,27,22,19,0,0,0,0,0,16,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,156,39,0,0,0,9,17,0,5,61,0,0,0,0,0,0,0,25,0,27,8,0,0,0,0,0,0,20,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,0,0,0,0,104,0,0,0,0,0,104,37,0,0,0,23,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,75,1137,59,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,83,19707,3512,393,0,15,39,0,128,0,0,15,0,0,0,0,0,28,0,0,0,0,0,0,75,0,0,0,0,0,0,44,50,0,0,0,0,0,0,0,0,0,49,0,0,0,0,19,0,30,581,0,0,0,0,0,0,0,0,0,0,0,218,0,237,32,0,95,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,126,0,0,0,0,0,36,896,51,0,0,114,0,0,145,0,130,32,39,65,104,0,0,38,177,0,298,0,0,0,0,0,100,0,43,156,0,0,0,0,81,0,0,44,14,24,0,0,0,0,0,0,0,0,588,196,174,0,0,0,218,462,0,0,0,0,8,41,26,0,0,52,0,54,0,0,0,223,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
2015,91,16016,1227,95,0,0,28,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,114,0,0,0,0,33,0,0,57,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,190,136,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,27,0,181,9,0,57,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,174,174,0,0,0,0,0,0,0,0,0,0,0,171,35,0,43,0,4,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
2015,109,18115,2771,404,0,0,0,44,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,18,17,0,0,25,33,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,1426,0,156,0,0,0,0,0,0,163,448,0,214,0,121,0,0,48,0,0,0,108,0,0,0,0,0,0,0,168,196,0,196,0,0,0,0,0,0,0,0,239,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,79,0,0,0,0,0,55,0,0,0,0,24,0,0,85,0,0,39,45,0,0,0,0,0,0,0,0,0,283,131,0,33,0,0,119,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
2015,34,108074,4149,267,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,18,0,26,13,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,106,0,0,0,0,85,93,0,37,173,0,144,170,0,0,26,87,0,98,0,0,46,0,0,8,0,0,45,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,2705,0,2241,289,18,0,157,26,0,0,0,0,5,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,42,4244,472,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,86,14,0,0,0,26,0,0,0,0,0,0,45,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,44,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
