s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,yeladim0_1,yeladim2_4,yeladim5_9,yeladim10_14,yeladim15_17,nefashot18up,men18up,women18up,religion,nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39
2012,240,2,2012,1,294.59042358,3,2.65,2,1,,,,1,1,0,0,0,0,2,1,1,1,0,0000,21,6,1,3,1,1,1,0,0,1,1,0,0,1,0,1,2,1,1,1,2,2,1,2,2,1,2,2,,0,2,2,,,4,4,1,0,2,2,3,8873,8873,9271,0,10153,9099,0,0,172,9099,0,172,0,0,0,5711,3388,0,0,0,0,172,0,0,0,0,0,0,0,398,0,81,317,10153,2235,533,1366,945,394,396,357,2080,1613,234
2012,257,2,2012,1,205.38796997,1,1.25,0,,,,,,0,0,0,0,0,1,,1,1,0,0000,21,6,1,3,1,1,0,1,1,1,1,0,1,1,0,1,2,1,0,5,2,2,2,2,1,2,1,1,,0,2,1,,,5,5,1,0,2,2,4,5111,5111,5362,0,5946,0,0,2327,3035,0,0,3035,0,0,0,0,0,0,0,2327,0,0,2024,1012,0,0,0,0,0,251,152,0,99,5946,88,714,3035,995,84,,516,18,494,
2012,265,2,2012,1,162.56201172,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,0000,21,6,1,3,1,1,1,0,1,1,2,0,1,1,0,1,3,0,1,4,2,2,1,2,2,1,1,2,1,61000,1,2,519078,3,4.5,4.5,0,0,0,0,7,14144,11069,11856,3075,10951,0,0,7690,4167,0,0,4167,0,0,0,0,0,0,0,7690,0,0,4167,0,0,0,0,0,0,787,500,0,287,14700,1024,797,2869,2051,152,1267,614,4026,1900,
2012,273,2,2012,1,163.86634827,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,0000,21,6,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,2,2,1,2,2,2,1,,,0,2,2,,,2,2,1,0,1,2,1,2198,2198,2631,0,2309,0,0,0,2631,0,0,2631,0,0,0,0,0,0,0,0,0,0,2631,0,0,0,0,0,0,433,0,61,372,2309,876,240,202,422,,,156,254,160,
2012,281,2,2012,1,289.07800293,3,2.65,1,,,,1,1,0,0,0,1,0,2,1,1,1,0,0000,21,6,1,3,1,1,1,0,0,1,1,0,0,1,1,0,2,0,1,2,2,2,2,1,2,2,,2,,0,1,2,200000,3,3,3,0,0,0,0,1,5873,3979,4222,1894,3043,2869,0,0,1353,2869,0,914,0,438,0,2869,0,0,0,0,0,172,0,0,0,0,0,742,0,243,0,16,227,4937,906,243,1894,597,108,430,183,37,337,203
2012,299,3,2012,1,216.59017944,3,2.65,1,,,,,,0,0,0,0,0,3,1,2,1,0,0000,21,6,1,3,1,1,0,1,1,1,1,1,0,1,0,1,3,2,0,3,2,2,1,2,2,2,1,2,1,93000,1,2,200000,1,3.5,3.5,0,0,0,0,5,12995,10694,11700,2301,6379,9120,0,577,2003,9120,0,2003,0,0,0,9120,0,0,0,577,0,0,2003,0,0,0,0,0,0,1006,0,358,648,8932,708,224,1989,557,27,,2658,650,1781,338
2012,307,2,2012,1,306.34387207,1,1.25,1,,,,,,0,0,0,0,0,1,,1,1,0,0000,21,6,1,3,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,2,2,2,1,2,2,1,1,2,1,49500,2,2,,,3,3,1,3,1,2,5,6590,5331,5565,1259,6290,5565,0,0,0,5565,0,0,0,0,0,5565,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,53,181,7844,948,318,1580,635,297,110,1251,947,1734,24
2012,315,2,2012,1,363.0118103,3,2.65,1,1,,1,,2,0,1,0,1,0,1,,1,1,0,9000,62,4,3,3,3,2,0,1,1,1,1,0,1,1,0,1,3,2,3,1,2,2,1,2,2,1,1,2,1,27400,1,2,850000,2,4,4,0,0,0,0,4,12330,9501,10107,2829,18114,8668,0,0,1439,8668,0,1439,0,0,0,8668,0,0,0,0,0,427,0,0,0,1012,0,0,0,606,0,270,336,21188,1552,847,2737,1097,4150,202,2684,4866,2944,108
2012,323,2,2012,1,219.6728363,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,6900,42,5,,4,5,4,1,0,0,1,1,0,0,1,0,1,2,1,1,1,1,2,1,2,2,1,1,1,1,6900,2,2,,,2,2,1,0,3,2,9,20460,20437,21985,23,10146,0,4047,13678,4260,0,3742,4260,0,0,0,0,0,0,0,9937,0,0,4260,0,0,0,0,0,0,1548,1172,0,376,10253,943,401,2948,953,132,,1968,1746,964,199
2012,331,1,2012,1,253.30514526,5,3.75,3,,,,1,1,0,0,0,0,1,4,1,3,5,0,6900,42,5,,4,5,4,1,0,0,1,1,0,0,1,0,0,2,0,2,0,2,2,1,2,2,1,1,2,1,93000,2,2,,,4,4,1,0,2,2,6,22974,22661,26469,313,15258,26298,0,0,171,26298,0,171,0,0,0,10115,12137,4046,0,0,0,171,0,0,0,0,0,0,0,3808,1851,908,1049,16162,2470,554,4811,1207,,48,391,2698,3059,923
2012,349,2,2012,1,261.59399414,4,3.2,2,,1,1,,2,0,1,1,0,0,2,1,1,1,0,6900,42,5,,4,5,4,0,1,1,1,1,0,1,1,1,0,2,1,3,1,2,2,1,2,2,1,1,2,1,17200,1,2,1550000,3,4,4,0,0,0,0,6,18865,14375,16268,4490,10207,15840,0,0,427,15840,0,427,0,0,0,10377,5464,0,0,0,0,427,0,0,0,0,0,0,0,1893,859,436,598,14728,1519,411,4479,1173,362,957,275,3541,1820,191
2012,356,2,2012,1,210.92599487,2,2,2,,,,,,0,0,0,0,0,2,1,1,1,0,6900,42,5,,4,5,4,0,1,1,1,1,0,1,1,1,1,2,1,2,3,2,2,1,2,2,1,2,2,2,77000,1,1,2000000,3,5,5,0,0,0,0,10,34555,28492,41264,6063,17431,41264,0,0,0,41264,0,0,0,0,0,33864,7400,0,0,0,0,0,0,0,0,0,0,0,0,12772,8688,2215,1869,24168,3435,558,6093,2338,,1486,3435,2555,2417,1850
2012,364,1,2012,1,261.59399414,4,3.2,1,1,1,,,2,0,1,1,0,0,2,1,1,1,0,6900,42,5,,4,5,4,0,1,1,1,1,1,0,1,1,1,2,1,4,3,2,2,1,2,2,1,1,2,1,84000,2,2,,,4,4,2,0,0,2,7,21762,17000,19981,4762,15726,14498,0,0,5483,14498,0,426,0,5057,0,14498,0,0,0,0,0,426,0,0,0,0,0,0,0,2981,1670,682,629,21500,1640,142,4479,1317,430,539,2529,6153,3489,782
2012,372,1,2012,1,417.82128906,1,1.25,0,,,,,,0,0,0,0,0,1,1,,1,0,9000,62,4,3,3,3,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,2,2,1,2,2,2,,1,,0,2,2,,,1,1,1,0,3,2,2,3330,3330,3428,0,2318,0,0,0,3428,0,0,2656,772,0,0,0,0,0,0,0,0,0,0,2656,0,0,0,0,0,98,0,0,98,2318,638,156,941,73,,,98,173,100,138
2012,380,1,2012,1,280.07553101,2,2,2,,,,,,0,0,0,0,0,2,1,1,1,0,9000,62,4,3,3,3,2,0,1,0,1,1,0,0,1,1,0,1,1,1,3,2,2,2,2,2,1,,2,1,3800,2,2,,,3.5,3.5,1,0,2,2,6,13262,12062,13149,1200,6926,13149,0,0,0,13149,0,0,0,0,0,8092,5057,0,0,0,0,0,0,0,0,0,0,0,0,1087,367,255,465,6990,1721,158,2226,641,68,,,224,1598,354
