s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,dirotBaalutLoGarim,religion
2014,117,2,2014,1,163.43510437,5,3.75,2,,,3,,3,2,1,1,1,5000,51,2,,4,5,5,1,0,0,1,1,0,0,1,1,0,2,1,1,1,2,2,1,2,2,0,1,2,1,,2,1,0,,1,,,3,3,1,0,2,2,3,13517,13517,14864,0,10185,14445,0,0,420,14445,0,420,0,0,0,5706,8738,0,0,0,0,420,0,0,0,0,0,0,0,1347,522,306,519,10185,563,48,3518,999,150,0,741,2075,2060,30,2,1,1
2014,125,2,2014,1,516.49310303,1,1.25,0,,,,,,1,,1,1,6600,53,4,,3,5,5,1,0,0,0,1,0,0,1,0,1,2,0,1,0,2,2,1,2,2,0,0,2,1,1,1,,0,,2,,,2,2,1,3,2,2,4,5522,5522,5988,0,5556,0,0,4199,1789,0,0,1340,450,0,0,0,0,0,0,4199,0,0,1340,0,0,0,0,0,0,466,273,0,193,5556,333,72,3016,526,0,80,170,867,369,124,2,0,1
2014,133,1,2014,1,360.56030273,2,2,1,,,,,,2,1,1,1,6600,53,4,,3,5,5,0,1,1,1,1,0,1,1,1,1,2,1,0,2,1,2,1,2,2,0,0,2,2,1,2,,0,1,2,1700000,3,4,4,0,0,0,0,6,13002,8972,9788,4030,5468,6120,0,0,3668,0,0,3668,0,0,0,0,0,0,6120,0,0,0,3668,0,0,0,0,0,0,816,0,434,382,9498,143,251,4030,2322,0,0,1302,491,893,65,2,0,1
2014,141,2,2014,1,518.80847168,3,2.65,2,1,,,,1,2,1,1,1,6600,53,4,,3,5,5,0,1,1,1,1,0,1,1,1,1,3,4,2,1,1,2,1,2,1,1,1,2,1,1,2,2,0,1,2,2000000,3,4,4,0,0,0,0,6,18582,14552,17102,4030,12982,16682,0,0,420,16682,0,420,0,0,0,12686,3997,0,0,0,0,420,0,0,0,0,0,0,0,2550,1332,552,666,17012,1072,28,4100,1969,0,2007,800,3834,2783,419,1,0,1
2014,158,2,2014,1,212.92649841,5,3.75,2,,,,3,3,2,1,1,1,8600,52,4,,4,5,5,0,1,1,1,1,0,1,1,1,1,5,1,3,5,2,2,1,2,2,2,2,2,1,1,2,1,0,1,2,1500000,3,4,4,0,0,0,0,6,24890,20204,23462,4686,18878,23010,0,0,452,23010,0,452,0,0,0,11192,11818,0,0,0,0,452,0,0,0,0,0,0,0,3258,1405,905,948,23564,2260,552,4745,2090,1696,1530,978,6679,2265,767,1,0,1
2014,166,2,2014,1,376.54998779,7,4.75,2,,,,,1,6,2,4,1,5000,51,2,,4,5,5,1,0,0,1,1,1,1,1,0,0,0,0,1,2,2,2,2,2,1,0,0,2,2,1,2,,0,1,2,700000,3,4,4,0,0,0,0,2,12626,6560,7519,6066,10500,7379,0,0,140,7379,0,140,0,0,0,5503,1876,0,0,0,0,140,0,0,0,0,0,0,0,959,69,176,714,16566,2616,681,6066,1620,0,131,1248,1874,2011,317,4,0,1
2014,174,2,2014,1,277.11401367,6,4.25,2,1,,1,2,4,2,1,1,1,5000,51,2,,4,5,5,0,1,1,1,1,1,0,1,1,1,1,1,2,2,2,2,2,2,1,0,0,2,1,1,2,2,0,,2,,,4,4,0,0,0,0,3,17273,11207,12682,6066,7327,12122,0,0,560,3961,0,560,0,0,0,0,3961,0,8161,0,0,560,0,0,0,0,0,0,0,1475,370,674,431,13394,1405,900,6066,901,15,401,339,2134,758,474,3,0,1
2014,182,3,2014,1,97.755699158,3,2.65,1,,,,,,3,,3,1,0000,44,6,2,3,4,3,1,0,0,1,1,0,1,1,0,1,1,0,2,1,2,2,1,2,2,0,0,2,1,1,2,1,0,1,2,750000,3,3,3,0,0,0,0,4,12538,9707,10945,2831,7456,8694,0,0,2251,8694,0,47,0,2204,0,8694,0,0,0,0,0,47,0,0,0,0,0,0,0,1238,407,293,538,10287,1464,333,2831,1015,370,201,245,1625,1881,322,1,0,1
2014,190,3,2014,1,131.58189392,6,4.25,1,1,,2,1,4,2,1,1,1,0000,44,6,2,3,4,3,1,0,0,1,1,0,0,1,0,0,1,0,1,0,2,2,2,2,2,0,0,2,2,,2,,0,,2,,,4,4,1,0,2,2,2,11266,11266,12095,0,4743,7025,0,0,5070,7025,0,561,0,4509,0,7025,0,0,0,0,0,561,0,0,0,0,0,0,0,829,280,198,351,4743,769,149,1428,670,0,101,0,200,1425,0,1,0,1
2014,208,3,2014,1,220.65179443,5,3.75,3,,,,2,2,3,1,2,1,0000,44,6,2,3,4,3,1,0,0,1,1,1,0,1,0,1,1,0,1,2,2,2,2,2,2,0,0,2,1,1,2,1,0,1,2,1000000,3,4,4,0,0,0,0,5,22303,18961,22958,3342,10275,22678,0,0,281,22678,0,281,0,0,0,15432,6977,268,0,0,0,281,0,0,0,0,0,0,0,3997,2078,871,1048,13617,1443,746,3342,700,761,814,704,547,3499,1061,4,0,1
