s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2015,18,2,2015,1,420.00350952,4,3.2,3,,,,1,1,3,1,2,1,9700,42,5,,4,5,4,0,1,1,1,1,0,1,1,1,1,4,0,3,2,2,2,1,1,1,2,2,0,1,2,1,1,2,2,1,0,3597955,2,7,7,0,0,0,0,9,37048,30708,38702,6340,26563,38562,0,0,139,38562,0,139,0,0,0,16174,17408,4980,0,0,0,139,0,0,0,0,0,0,0,0,7994,4720,1649,1625,32903,5071,1254,6700,1734,453,0,1016,1568,14902,204,1,4069,2496.9801065,1571.7,0,0,,3597955,1
2015,26,2,2015,1,348.21090698,5,3.75,3,,,1,1,2,3,1,2,1,9700,42,5,,4,5,4,0,1,1,1,1,0,1,1,1,1,5,1,4,1,2,2,2,1,1,2,1,0,1,2,1,1,2,2,,1,,,5,5,1,0,2,2,6,26400,25473,29682,927,29213,24423,4980,0,279,24423,0,279,0,0,0,16070,7828,526,0,0,0,279,0,0,0,0,0,0,0,0,4209,2271,951,987,30140,2782,440,6055,2637,5518,1764,1182,999,7534,1230,1,5880,4092.022115,1787.5,0,0,,1500000,1
2015,34,2,2015,1,471.21130371,5,3.75,2,1,1,1,,3,2,1,1,1,9700,42,5,,4,5,4,0,1,1,1,2,0,1,1,1,1,4,4,7,4,2,2,1,1,1,2,1,3,2,2,1,1,2,2,1,0,5200000,2,7,6,0,0,0,0,10,80117,74270,124629,5847,102228,123912,0,0,717,54191,0,717,0,0,0,0,54191,0,69721,0,0,418,0,0,0,299,0,0,0,0,50359,39017,7244,4098,108074,4149,1386,5823,11701,7087,18637,5496,11449,22126,20219,2,7844,4785.1260255,1618.5,1369.68746,71,378459,4821541,1
2015,42,2,2015,1,109.83789825,2,2,0,,,,,,2,,2,1,9700,42,5,,4,5,4,0,0,1,1,1,0,0,1,0,1,2,0,1,1,2,2,2,1,1,2,2,1,0,2,1,1,2,,,0,,,2,2,1,0,1,2,2,6455,6455,6661,0,4244,0,0,0,6661,0,0,5458,1202,0,0,0,0,0,0,0,0,0,5458,0,0,0,0,0,0,0,206,0,0,206,4244,472,315,1312,250,0,401,754,211,529,0,1,8173,0,2761.2,5197.8374649,214,,0,1
2015,59,2,2015,1,145,7,4.75,1,1,1,2,1,5,2,1,1,1,9700,42,5,,4,5,4,1,0,0,0,2,0,0,1,1,1,2,0,2,5,2,2,1,2,1,2,2,0,1,2,1,1,2,1,,0,,,5,5,1,0,1,2,1,6813,6813,7125,0,25476,6428,0,0,697,6428,0,697,0,0,0,6428,0,0,0,0,0,697,0,0,0,0,0,0,0,0,312,6,89,217,25476,4651,1060,2018,977,154,120,572,12723,2002,1199,6,12914,9779.0862385,2243.8,882.3278489,9,,0,1
2015,67,1,2015,1,317.2565918,2,2,2,,,,,,2,1,1,1,0000,62,8,3,2,1,1,0,1,1,1,1,0,0,1,0,0,0,0,2,0,2,2,1,2,2,2,2,1,0,2,1,,2,,,0,,,4,4,1,0,1,2,5,11471,11471,12006,0,6462,12006,0,0,0,12006,0,0,0,0,0,6751,5255,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,137,398,6462,536,255,802,630,404,695,480,1189,384,1086,1,4544,2849.1069325,646.1,882.3278489,166,,0,1
2015,75,1,2015,1,433.6355896,1,1.25,0,,,,,,1,1,,3,0000,62,8,3,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,0,0,2,2,,1,,,0,,,3,3,1,0,1,2,1,2280,2280,2382,0,1137,0,0,0,2382,0,0,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,0,0,0,0,102,0,0,102,1137,59,0,107,185,0,0,58,218,69,442,1,2648,0,241.8,2252.0153089,154,,0,5
2015,83,1,2015,1,236.29269409,6,4.25,2,2,2,,,4,2,1,1,1,0000,62,8,3,2,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,3,2,2,1,2,1,2,1,2,2,2,1,1,2,1,1,0,650000,3,4,4,0,0,0,0,5,22763,20037,21709,2726,17358,21154,0,0,556,21154,0,556,0,0,0,16368,4786,0,0,0,0,556,0,0,0,0,0,0,0,0,1672,0,808,864,19707,3512,588,2498,1362,1060,1063,913,4419,4237,55,2,8524,6380.168034,2143.7,0,0,384241,265759,1
2015,91,2,2015,1,125.55599976,2,2,1,,,,,,2,1,1,1,9000,62,15,3,3,3,2,0,1,1,1,1,0,1,1,1,1,2,0,2,1,2,2,1,1,1,2,2,2,0,2,1,1,2,1,1,0,969593,3,4,4,0,0,0,0,9,21260,18491,22903,2769,13247,17138,0,3685,2080,17138,0,2080,0,0,0,17138,0,0,0,3685,0,0,2080,0,0,0,0,0,0,0,4412,2625,839,948,16016,1227,917,6526,999,133,0,2254,1223,1957,779,1,3134,0,3029,0,105,,969593,1
2015,109,2,2015,1,223.68260193,6,4.25,2,1,2,1,,4,2,1,1,1,9000,62,15,3,3,3,2,0,1,1,1,1,0,0,1,1,0,3,2,1,1,2,2,1,1,1,2,2,3,0,2,1,1,2,1,1,0,980000,3,5,5,0,0,0,0,5,24360,19511,22582,4849,13703,22025,0,0,558,22025,0,558,0,0,0,9253,12771,0,0,0,0,558,0,0,0,0,0,0,0,0,3071,1356,821,894,18115,2771,664,4412,1812,1029,358,1342,2594,1799,1333,1,8199,6380.168034,1818.7,0,0,175466,804534,1
