s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2016,18,2,2016,1,297.15078735,4,3.2,2,,2,,,2,2,1,1,1,0000,52,6,3,5,4,0,1,1,1,1,1,0,1,0,0,3,0,1,4,2,2,1,1,1,2,1,1,0,2,1,1,2,1,1,0,1100000,3,4,4,0,0,0,0,4,14452,10011,10919,4441,7110,10581,0,0,338,10581,0,338,0,0,0,7402,3179,0,0,0,0,338,0,0,0,0,0,0,0,0,908,339,168,401,11551,2166,168,4441,1190,43,0,724,1748,880,192,6,4429,3234.0669808,1194.5490407,0,0,,1100000,1
2016,26,2,2016,1,611.56085205,1,1.25,1,,,,,,1,,1,1,0000,52,6,3,5,4,0,1,0,0,1,0,0,1,0,1,2,0,0,2,2,2,1,2,2,1,2,0,0,2,2,,1,1,1,0,800000,3,2,2,0,0,0,0,6,8259,5422,5578,2837,4077,3090,0,0,2488,3090,0,2488,0,0,0,3090,0,0,0,0,0,0,0,0,0,2488,0,0,0,0,156,0,19,137,6914,935,0,2837,279,0,0,82,0,2617,164,1,1844,0,445.8125607,1316.259609,82,,800000,1
2016,34,3,2016,1,173.73139954,2,2,2,,,,,,2,1,1,1,8400,44,4,3,5,4,1,0,0,1,1,0,0,1,0,1,1,0,4,1,2,2,1,2,2,1,2,0,1,2,1,1,2,1,,0,,,3,3,1,0,2,2,8,19743,19605,26815,138,9638,26815,0,0,0,26815,0,0,0,0,0,23560,3255,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,4703,1295,1212,9638,2191,308,3267,533,5,0,280,1493,1538,22,1,3502,2850.7540054,651.572204,0,0,,0,1
2016,42,2,2016,1,317.49859619,4,3.2,2,1,1,,,2,2,1,1,1,6400,51,5,4,5,4,0,1,1,0,1,0,1,1,1,1,3,0,2,7,2,2,1,1,2,1,1,1,0,2,1,1,2,2,1,0,3700000,3,6,6,0,0,0,0,9,41261,32400,44830,8861,20074,44492,0,0,338,44492,0,338,0,0,0,17985,26507,0,0,0,0,338,0,0,0,0,0,0,0,0,12430,8041,2377,2012,28936,5023,1160,8234,2654,403,884,2316,4323,3315,623,1,4669,3234.0669808,1434.601958,0,0,738643,2961357,1
2016,59,2,2016,1,345.46481323,1,1.25,1,,,,,,1,,1,1,6400,51,5,4,5,4,0,1,1,1,1,0,1,1,1,1,2,0,1,1,2,2,1,1,2,1,1,0,0,2,2,1,1,,,0,,,4,4,0,0,0,0,8,11131,5983,6356,5148,3329,6356,0,0,0,6356,0,0,0,0,0,6357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,85,76,212,8477,421,99,5148,1468,632,0,199,113,26,371,2,972,0,971.6427605,0,0,,0,1
2016,67,2,2016,1,657.80603027,3,2.65,2,,,,1,1,2,1,1,1,6400,51,5,4,5,4,0,1,1,1,1,0,1,1,1,1,3,0,2,2,2,2,2,1,1,2,2,2,0,2,1,1,2,1,1,0,3600000,2,3.5,3.5,0,0,0,0,10,42834,37686,55869,5148,11939,55719,0,0,150,55719,0,150,0,0,0,13127,42592,0,0,0,0,150,0,0,0,0,0,0,0,0,18183,12465,3152,2566,17087,2432,581,5289,3163,30,251,705,841,3703,92,1,5136,2444.2959094,2692.022001,0,0,,3600000,1
2016,75,2,2016,1,438.64459229,1,1.25,1,,,,,,1,1,,1,6400,51,5,4,5,4,0,1,1,1,1,0,1,1,0,1,1,0,0,1,2,2,1,2,1,2,2,0,0,2,2,1,1,1,,0,,,2,2,0,0,0,0,8,12852,9353,11987,3499,3491,11987,0,0,0,0,0,0,0,0,0,0,0,0,11987,0,0,0,0,0,0,0,0,0,0,0,2634,1047,1094,493,6990,369,22,3499,1,22,1083,146,1,1744,101,1,566,0,565.8390193,0,0,,0,1
2016,83,2,2016,1,311.85641479,4,3.2,2,,,1,1,2,2,1,1,1,6400,51,5,4,5,4,0,1,1,1,1,0,1,1,1,1,2,0,2,1,2,2,2,1,1,2,1,4,0,2,1,1,2,1,,1,,,6,6,1,0,2,2,10,76370,73883,124936,2487,35330,117906,6693,0,338,117906,0,338,0,0,0,113219,4687,0,0,0,0,338,0,0,0,0,0,0,0,0,51053,46182,2673,2198,37220,9007,1614,6524,4305,1500,338,1365,6340,4263,1965,1,6569,4888.5918188,1680.370421,0,0,,1500000,1
2016,91,2,2016,1,258.03082275,1,1.25,0,,,,,,1,,1,1,6400,51,5,4,5,4,0,1,1,1,2,1,1,1,1,1,3,0,1,3,2,2,1,2,1,2,1,1,0,2,1,1,1,1,1,1,3000000,3,3,3,0,0,0,0,10,26689,22517,22749,4172,14071,0,5494,13666,3589,0,0,3589,0,0,0,0,0,0,0,549,0,0,2442,1147,0,0,0,0,0,0,232,36,0,196,18243,1478,624,4335,3162,215,1003,1691,2156,2576,1003,1,1822,0,1503.188506,140.6274505,178,,4500000,1
2016,109,2,2016,1,226.13499451,2,2,1,,,,,,2,1,1,1,5000,51,2,4,5,5,0,1,1,1,1,0,1,1,0,1,1,0,2,3,2,2,1,2,1,2,2,0,0,2,2,,2,,,0,,,2.5,2.5,0,0,0,0,8,20379,14853,18151,5526,5359,14655,0,0,3496,14655,0,3496,0,0,0,14655,0,0,0,0,0,0,0,0,0,0,3496,0,0,0,3298,1855,679,764,10557,2741,128,5198,806,50,0,136,1495,2,0,1,3502,2850.7540054,651.572204,0,0,,0,1
2016,117,3,2016,1,384.12228394,4,3.2,2,,2,,,2,2,1,1,1,5000,51,2,4,5,5,0,1,1,1,1,0,1,1,0,1,2,0,2,3,2,2,1,2,1,2,1,2,0,2,1,1,2,2,,1,,,3,3,1,0,2,2,9,34618,30908,45560,3710,15344,45221,0,0,339,45221,0,339,0,0,0,39659,5562,0,0,0,0,339,0,0,0,0,0,0,0,0,14652,10177,2426,2049,18180,3353,406,4837,2075,65,0,908,2643,3625,267,1,4457,3234.0669808,1223.126769,0,0,168540,1331460,1
2016,125,3,2016,1,133.61470032,5,3.75,2,1,1,1,,3,2,1,1,1,7900,42,13,3,5,5,0,1,1,1,1,0,1,1,1,1,3,0,1,4,2,2,1,2,1,2,1,2,1,2,1,1,2,2,1,0,1600000,3,4,4,0,0,0,0,7,29626,25447,32281,4179,13748,31153,0,0,1128,31153,0,527,0,601,0,21484,9669,0,0,0,0,527,0,0,0,0,0,0,0,0,6834,4056,1435,1343,17750,3356,498,4002,1834,959,66,933,3220,2681,202,1,6611,4851.1004712,1760.3880601,0,0,493772,1106228,1
2016,133,3,2016,1,141.60891724,5,3.75,1,,1,,1,2,3,1,2,1,7900,42,13,3,5,5,1,0,0,1,1,0,1,1,0,1,4,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,2,,0,,,4.5,4.5,1,0,2,2,6,26202,26202,32266,0,20141,21459,10,0,10797,21459,0,10797,0,0,0,21459,0,0,0,0,0,339,3106,0,0,7353,0,0,0,0,6064,3773,1129,1162,20141,2165,272,4636,2412,425,483,1483,1569,6320,378,2,8773,4061.3293998,3395.034116,1316.259609,0,,0,1
2016,141,3,2016,1,204.78056335,4,3.2,2,1,1,,,2,2,1,1,1,7900,42,13,3,5,5,0,1,0,1,1,0,0,1,0,1,1,0,1,5,2,2,1,1,1,2,2,1,1,2,2,,2,1,,0,,,4.5,4,1,0,2,2,8,27820,27820,38701,0,15970,38362,0,0,339,38362,0,339,0,0,0,31014,7348,0,0,0,0,339,0,0,0,0,0,0,0,0,10881,7238,1940,1703,15970,3330,72,4031,1099,20,121,869,3456,2701,271,1,7188,3234.0669808,1514.6195971,2439.683681,0,,0,1
2016,158,3,2016,1,170.93081665,4,3.2,1,2,,,,2,2,1,1,1,7900,42,13,3,5,5,0,1,1,1,1,0,0,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,0,2,1,1,2,1,,0,,,3,3,1,0,2,2,2,8490,8490,10222,0,17738,9883,0,0,339,0,0,339,0,0,0,0,0,0,9883,0,0,339,0,0,0,0,0,0,0,0,1732,469,870,393,17738,3384,397,3930,1361,867,274,666,5955,374,531,1,3858,1617.0334904,2240.4938951,0,0,,0,1
