s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,Electric_Scooter,Electric_Bicycle,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2018,18,2,2018,1,167.04821777,6,4.25,3,,1,2,,3,3,2,1,1,1200,43,5,4,4,3,0,1,1,1,2,1,1,1,1,1,4,2,4,2,2,1,1,1,2,1,0,1,2,1,1,2,2,0,0,1,1,5000000,2,7,7,0,0,0,0,8,43628,37935,43702,5693,22499,30855,5544,0,7303,30855,0,531,6067,706,0,1273,0,29581,0,0,0,531,0,0,0,0,0,0,0,0,0,5767,3221,1292,1254,28192,4455,470,6030,3023,78,688,2367,2598,6213,2270,1,9124,6873.9455631,2249.590857,0,0,450423,6141185,1
2018,26,2,2018,1,157.99099731,8,5.2,2,,,2,,2,6,4,2,1,1200,43,5,4,4,3,0,1,1,1,2,0,1,1,1,1,0,1,3,2,2,1,1,2,2,2,1,0,2,1,1,2,2,0,0,1,0,2536107,3,5,5,0,0,0,0,7,47013,41320,70184,5693,20832,69843,0,0,341,69843,0,341,0,0,0,68570,0,1273,0,0,0,341,0,0,0,0,0,0,0,0,0,28864,23748,2734,2382,26525,3499,1511,6072,4124,192,0,2370,3503,5254,0,3,8547,5864.7437371,2682.4389621,0,0,296399,2239708,1
2018,34,2,2018,1,247.22105408,6,4.25,2,2,2,,,4,2,1,1,1,1200,43,5,4,4,3,0,1,1,1,1,0,1,1,1,0,1,2,2,2,2,1,1,1,2,2,1,0,2,2,1,2,1,0,0,1,0,4500000,3,7,7,0,0,0,0,9,57576,45769,68403,11807,19776,67682,0,0,721,67682,0,721,0,0,0,24406,43276,0,0,0,0,721,0,0,0,0,0,0,0,0,0,22634,15525,3953,3156,30244,4073,0,5903,3690,0,152,1735,5738,8859,94,3,9713,6987.9306548,2725.1141277,0,0,168816,4331184,1
2018,42,2,2018,1,178.23419189,4,3.2,1,,2,,,2,2,1,1,1,1200,43,5,4,4,3,0,1,1,1,1,0,1,1,1,1,2,2,1,2,2,1,1,2,2,1,4,0,2,1,,2,2,0,0,1,0,2800000,3,4.5,4.5,0,0,0,0,4,18997,13304,16516,5693,20956,16175,0,0,341,16175,0,341,0,0,0,16175,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,3212,1598,813,801,26649,5627,2145,5693,2848,1784,509,856,3811,2457,919,2,5762,3493.9653274,2267.8802131,0,0,249369,2550631,1
2018,59,2,2018,1,261.64154053,5,3.75,3,,,1,1,2,3,2,1,1,1200,43,5,4,4,3,0,1,2,1,2,1,1,1,1,1,5,4,2,2,2,1,1,1,2,1,3,3,2,1,1,2,2,0,0,1,0,4400000,2,6,6,0,0,0,0,8,38165,31741,42351,6424,37396,26849,0,15161,341,20549,0,341,0,0,0,19276,0,1273,6300,15161,0,341,0,0,0,0,0,0,0,0,0,10610,8374,1181,1055,43820,3928,135,5693,1904,3020,1384,1404,5399,20725,227,2,6341,4310.4641134,2030.1185782,0,0,687205,3712795,1
2018,67,2,2018,1,225.5934906,2,2,0,,,,,,2,1,1,1,1200,43,5,4,4,3,0,1,1,0,1,1,0,1,1,0,1,2,1,2,2,1,1,2,2,1,2,0,2,1,,2,1,0,0,,1,,,4,4,1,0,2,2,7,16713,16713,17899,0,30642,0,0,14037,3862,0,0,0,3862,0,0,0,0,0,0,14037,0,0,0,0,0,0,0,0,0,0,0,1186,1012,70,104,30642,2358,564,5177,1103,3728,0,190,1593,13731,2200,3,8257,0,3517.652912,4700.697511,39,,1591608,1
2018,75,2,2018,1,209.11820984,7,4.75,2,,3,2,,5,2,1,1,1,1200,43,5,4,4,3,0,1,1,1,1,0,1,1,1,2,1,2,6,2,2,1,1,2,2,1,0,0,2,1,1,2,2,0,0,1,0,3500000,2,6,6,0,0,0,0,9,56122,45596,65747,10526,24147,62119,2755,0,872,52627,0,872,0,0,0,43868,8759,0,9493,0,0,872,0,0,0,0,0,0,0,0,0,20151,13762,3519,2870,34674,4389,1231,5693,2359,277,3862,712,7477,6404,2270,3,11569,9551.4121045,2017.9256739,0,0,,3500000,1
2018,83,2,2018,1,342.36279297,3,2.65,3,,,,,,3,2,1,1,1200,43,5,4,4,3,0,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,2,1,0,0,2,1,,2,2,0,0,1,1,3500000,2,5,5,0,0,0,0,10,43614,37921,46956,5693,20025,28306,1512,17137,0,28306,0,0,0,0,0,9545,0,18762,0,17137,0,0,0,0,0,0,0,0,0,0,0,9035,7403,705,927,25718,1238,1164,5869,1642,30,101,2198,10842,2635,0,2,4297,0,2347.1340917,1784.231391,166,,5091608,1
2018,91,2,2018,1,273.49966431,5,3.75,2,,2,1,,3,2,1,1,1,1200,43,5,4,4,3,0,1,1,1,1,0,1,1,1,1,4,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,0,0,1,0,3800000,2,6,6,0,0,0,0,7,32385,26108,32228,6277,30807,31697,0,0,531,31697,0,531,0,0,0,16016,15681,0,0,0,0,531,0,0,0,0,0,0,0,0,0,6120,3319,1440,1361,37084,2578,1156,5794,2339,209,1062,1025,4620,18201,101,5,7612,6057.4467771,1554.5953077,0,0,313092,3486908,1
2018,109,2,2018,1,285.42477417,3,2.65,1,,1,,1,2,1,,1,1,1200,43,5,4,4,3,1,0,0,1,1,0,0,1,1,1,2,1,6,2,2,1,1,1,2,1,1,1,2,1,,2,1,0,1,,1,,,5,5,1,0,2,2,5,16243,16243,16920,0,23439,9824,6754,0,341,9824,0,341,0,0,0,9824,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,677,0,298,379,23439,2507,177,7887,1837,280,607,815,4550,4349,432,1,8310,7364.7997601,944.950089,0,0,,1591608,1
2018,117,2,2018,1,403.54721069,5,3.75,3,,,,2,2,3,1,2,1,1200,43,5,4,4,3,0,1,2,1,2,0,0,1,1,0,0,4,2,2,2,1,1,2,2,1,0,0,2,1,1,2,1,0,0,1,2,3700000,3,6,6,0,0,0,0,4,21419,15726,16263,5693,23391,5299,10434,0,531,5299,0,531,0,0,0,1486,0,3813,0,0,0,531,0,0,0,0,0,0,0,0,0,537,0,60,477,29084,4037,443,5750,1906,29,879,2022,10308,2842,867,3,10019,5126.9628994,2084.9866478,2806.777488,0,,6883216,1
2018,125,3,2018,1,173.65777588,5,3.75,1,3,,,,3,2,1,1,1,1200,43,5,4,4,3,0,1,1,1,1,0,0,1,0,2,3,1,1,2,2,2,1,1,2,1,0,0,2,1,,2,2,0,0,1,0,3100000,3,4.5,4.5,0,0,0,0,3,16397,10704,13163,5693,23118,12631,0,0,532,0,0,532,0,0,0,0,0,0,12631,0,0,532,0,0,0,0,0,0,0,0,0,2459,915,1026,518,28811,5289,577,5693,1877,3906,402,616,4082,5960,409,2,6573,3493.9653274,3078.7083544,0,0,1123460,1976540,1
2018,133,2,2018,1,211.80308533,3,2.65,1,,,,,,3,1,2,1,0000,52,6,4,5,5,1,0,0,0,1,0,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,0,2,1,2,2,1,0,0,1,0,3862639,4,6.5,6.5,0,0,0,0,7,22357,16077,17309,6280,15191,5040,0,5078,7191,5040,0,4874,2317,0,0,5040,0,0,0,5078,0,0,4874,0,0,0,0,0,0,0,0,1232,834,2,396,21471,2971,482,6431,6964,64,0,1814,548,795,1403,1,10047,0,5346.5885673,4700.697511,0,,3862639,1
2018,141,2,2018,1,84.065093994,2,2,2,,,,,,2,1,1,1,0000,52,6,4,5,5,0,1,1,1,1,1,1,1,1,1,3,1,4,2,2,1,2,1,2,2,0,0,2,1,1,2,2,0,0,1,0,2170786,3,4,4,0,0,0,0,10,30249,25059,32194,5190,7312,32194,0,0,0,32194,0,0,0,0,0,19089,13105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7135,4274,1475,1386,12502,2238,842,5359,767,101,235,495,307,2159,0,3,3518,0,3517.652912,0,0,,2170786,1
