S_Seker,MisparMb,Hodesh_Hakira,Shnat_Hakira,Quarter,Weight,Nefashot,NefeshStandartit,Mefarnesim,Nefashot0_4,Nefashot5_9,Nefashot10_14,Nefashot15_17,NefashotAd18,Nefashot18Up,Men18up,Women18up,Nationality,Yshuv,Nafa,Zurat_Y,Cluster,MadadPereferia,Tanur_Ba,Tanur_B,Tanur_A,Microwave,Refrigerator,Deep_Freezer,Dish_Washer,Washing_M,Dryer,V_Cleaner,Television,Computer,A_Conditioner,C_Heating,F_Heating,Water_Heating,Security_Room,Cable_Tv,Water_Purification_Device,Tablet,Gamer,Satellite_Dish,internet,Phones,Cell_Phones,Cars,Electric_Scooter,Electric_Bicycle,Baalut,Owned_Appartement_Not_For_Living,Value_D,Mocher_D,Sah_Hadrim,Hadrim,Rented_D,Add_Payers,Maskir,Mafteah,Decile,Total_Net,Net,i1Kaspit,iInKind,c3Kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,i141119,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Sex_RMB,MaamadRMB,Religion
2020,14449,3,2020,1,1684.705,1,1.25,1,,,,,,1,1,,1,5000,51,2,4,5,1,0,0,1,1,0,0,1,0,0,2,1,2,2,2,2,1,1,1,1,1,2,1,,1,,0,0,,0,,,3,2,1,0,2,0,6,9504,9504,11231,0,7202,11231,0,0,0,11231,0,0,0,0,0,11231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727,930,362,435,7202,1321,349,2589,618,27,500,152,1448,130,69,1,1,1,1
2020,14450,3,2020,1,1085.435,1,1.25,0,,,,,,1,,1,1,6200,53,4,3,5,0,1,1,1,1,0,0,1,0,0,2,0,2,2,2,1,2,1,1,0,0,2,1,1,1,,0,0,1,0,1000000.0000,3,2.5,2.5,0,0,0,0,4,6040,2793,2793,3247,2123,0,0,0,2793,0,0,2793,0,0,0,0,0,0,0,0,0,0,2095,698,0,0,0,0,0,0,0,0,0,0,0,0,5370,546,229,3247,458,137,0,260,120,200,172,2,2,3,1
2020,14451,3,2020,1,2181.256,4,3.20,1,,,2,,2,2,1,1,2,0000,32,9,2,3,0,1,1,1,1,1,1,1,0,1,2,1,3,2,2,1,2,2,2,0,0,1,1,,2,1,0,0,1,0,600000.0000,4,3,3,0,0,0,0,1,7362,5362,5730,2000,11623,5387,0,0,343,0,0,343,0,0,0,0,0,0,5387,0,0,343,0,0,0,0,0,0,0,0,0,0,368,48,154,167,13623,2591,195,2000,2160,65,1249,0,499,3139,1725,3,1,2,3
2020,14452,3,2020,1,264.505,2,2.00,0,,,,,,2,1,1,2,0000,32,9,2,3,1,0,0,0,1,0,0,1,0,1,1,0,1,2,2,2,2,2,2,0,0,1,2,,1,,0,0,1,0,600000.0000,4,3,3,0,0,0,0,3,7983,6983,6983,1000,5930,0,0,0,6983,0,0,6983,0,0,0,0,0,0,0,0,0,0,6983,0,0,0,0,0,0,0,0,0,0,0,0,0,6930,2799,369,1000,1498,130,0,207,0,733,195,3,1,3,3
2020,14453,3,2020,1,1374.657,3,2.65,3,,,,,,3,1,2,2,0000,32,9,2,3,0,2,2,2,3,1,1,2,0,2,4,3,5,2,2,1,1,2,2,2,0,1,1,,2,1,0,1,1,0,600000.0000,4,5,4,0,0,0,0,9,29317,28117,29757,1200,17449,24570,0,0,5188,24570,0,5188,0,0,0,4669,13920,5981,0,0,0,0,0,0,0,5188,0,0,0,0,0,0,1641,1265,43,333,18649,3913,717,1200,2545,4589,1200,602,2097,1359,427,3,1,1,3
2020,14454,3,2020,1,936.013,3,2.65,1,,,,,,3,2,1,2,0000,32,9,2,3,1,1,0,1,2,1,1,1,1,1,1,0,4,2,2,1,2,2,2,0,0,1,1,1,2,,0,0,1,0,500000.0000,4,3,3,0,0,0,0,3,11023,9323,9747,1700,5835,6555,0,0,3192,6555,0,3192,0,0,0,6555,0,0,0,0,0,0,0,0,0,0,0,3192,0,0,0,0,424,169,48,207,7535,1877,637,1700,1197,0,0,142,0,1185,797,3,1,1,3
2020,14455,3,2020,1,698.318,1,1.25,0,,,,,,1,,1,2,0000,32,9,2,3,0,1,1,1,1,0,0,1,0,1,1,0,1,2,2,1,2,2,2,0,0,1,2,1,,,0,0,1,0,300000.0000,4,2,2,0,0,0,0,5,7884,6185,6185,1699,8964,0,0,0,6185,0,0,6185,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,3990,0,0,0,0,0,0,10663,1034,932,1699,5472,12,200,71,87,60,1097,3,2,3,3
2020,14456,3,2020,1,3071.955,6,4.25,2,,,,2,2,4,2,2,2,0000,32,9,2,3,0,1,1,1,2,1,0,1,0,1,2,1,3,2,2,2,1,2,2,1,0,1,1,1,2,1,0,0,,0,,,3,2,1,0,2,2,2,15852,15852,16412,0,13830,10076,0,0,6336,10076,0,5830,506,0,0,5038,0,5038,0,0,0,343,0,5487,0,0,0,0,0,0,0,0,560,15,114,431,13830,1527,519,1799,2282,200,250,1164,484,4563,1041,3,1,1,3
2020,14457,3,2020,1,276.117,2,2.00,0,,,,,,2,1,1,2,0000,32,9,2,3,0,2,1,1,2,0,1,1,0,1,2,0,3,2,2,1,2,2,2,0,0,1,2,,2,,0,0,1,0,700000.0000,4,5,5,0,0,0,0,2,6388,4888,4888,1500,5998,0,0,1496,3392,0,0,3392,0,0,0,0,0,0,0,1496,0,0,3392,0,0,0,0,0,0,0,0,0,0,0,0,0,7498,1962,1021,1500,1680,432,0,783,0,120,0,3,1,3,3
2020,14458,3,2020,1,1207.859,2,2.00,0,,,,,,2,,2,2,0000,32,9,2,3,0,1,1,1,1,1,0,1,0,1,1,0,3,2,2,1,2,2,2,0,0,1,2,1,1,1,0,0,1,0,400000.0000,4,3,3,0,0,0,0,4,10502,9202,9377,1300,6231,0,0,7482,1895,0,0,1895,0,0,0,0,0,0,0,7482,0,0,1895,0,0,0,0,0,0,0,0,0,176,0,72,104,7531,2133,1008,1300,1416,0,0,493,0,899,282,3,2,3,3
