S_Seker,MisparMb,Hodesh_Hakira,Shnat_Hakira,Quarter,Weight,Nefashot,NefeshStandartit,Mefarnesim,Nefashot0_4,Nefashot5_9,Nefashot10_14,Nefashot15_17,NefashotAd18,Nefashot18Up,Men18up,Women18up,Nationality,Yshuv,Nafa,Zurat_Y,Cluster,MadadPereferia,Tanur_Ba,Tanur_B,Tanur_A,Microwave,Refrigerator,Deep_Freezer,Dish_Washer,Washing_M,Dryer,V_Cleaner,Television,Computer,A_Conditioner,C_Heating,F_Heating,Water_Heating,Security_Room,Cable_Tv,Water_Purification_Device,Tablet,Gamer,Satellite_Dish,internet,Phones,Cell_Phones,Cars,Electric_Scooter,Electric_Bicycle,Baalut,Owned_Appartement_Not_For_Living,Value_D,Mocher_D,Sah_Hadrim,Hadrim,Rented_D,Add_Payers,Maskir,Mafteah,Decile,Total_Net,Net,i1Kaspit,iInKind,c3Kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Sex_RMB,MaamadRMB,Religion
2021,28106,1,2021,1,383.712,2,2,0,,,,,,2,1,1,1,0,43,5,4,4,0,1,1,1,2,0,1,1,0,1,2,1,4,2,2,1,1,1,2,0,0,2,1,,2,1,0,0,1,7,3000000,2,5,5,0,0,0,0,10,35431,28831,34922,6600,16474,0,30455,0,4467,0,0,4467,0,0,0,0,0,0,0,0,0,0,4467,0,0,0,0,0,0,0,0,6091,6091,0,0,23074,822,416,9502,1242,0,305,1416,1981,596,6796,1,2,3,1
2021,28107,1,2021,1,114.092,1,1.25,0,,,,,,1,,1,1,0,43,5,4,4,0,1,1,1,1,1,1,1,0,0,2,1,3,2,2,1,1,1,2,0,0,2,2,1,2,1,0,0,1,1,2700000,2,5.5,5.5,0,0,0,0,10,18782,12182,12182,6600,8731,0,0,0,12182,0,0,12182,0,0,0,0,0,0,0,0,0,0,0,6091,6091,0,0,0,0,0,0,0,0,0,0,15331,790,391,6718,1300,52,305,520,1525,2831,900,1,2,3,1
2021,28108,2,2021,1,195.015,9,5.6,1,4,,3,,7,2,1,1,1,70,61,12,3,4,1,0,0,1,3,0,0,1,1,0,0,0,5,2,2,1,1,2,2,0,0,2,2,,2,1,0,0,,1,,,5,5,0,0,0,0,2,18517,12848,13216,5669,12788,3103,4066,0,6046,3103,0,1049,4997,0,0,3103,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,368,0,96,272,18457,2585,872,5922,2745,2421,0,510,447,2393,562,4,2,1,1
2021,28109,1,2021,1,755.693,2,2,0,,,,,,2,1,1,1,70,61,12,3,4,0,1,1,1,1,0,0,1,1,1,2,1,1,2,2,1,2,1,1,0,0,2,1,1,1,,0,0,,0,,,4,4,1,0,2,2,1,3069,3069,3249,0,4354,0,0,162,3086,0,162,3086,0,0,0,0,0,0,0,0,0,0,2436,650,0,0,0,0,0,0,0,180,0,74,106,4354,1002,508,1018,901,186,0,563,1,176,0,3,2,3,1
2021,28110,1,2021,1,527.768,2,2,1,,,,,,2,1,1,1,70,61,12,3,4,0,1,1,1,2,0,1,1,1,0,1,1,1,2,2,1,2,1,1,0,0,2,2,,2,,0,0,1,0,2300000,3,5,5,0,0,0,0,4,9590,3921,3921,5669,4429,1870,0,0,2051,1870,0,2051,0,0,0,1870,0,0,0,0,0,0,0,0,0,2051,0,0,0,0,0,0,0,0,0,10098,427,662,5740,1245,463,0,1403,112,46,0,2,1,1,1
2021,28111,1,2021,1,441.96,4,3.2,1,2,,,,2,2,1,1,1,70,61,12,3,4,0,1,1,1,1,0,0,1,1,2,2,3,4,2,2,1,2,1,1,1,0,2,1,,2,2,1,0,1,0,1500000,3,4,4,0,0,0,0,5,20090,15798,16405,4292,10175,11651,0,0,4754,11651,0,1366,0,3388,0,11651,0,0,0,0,0,349,0,0,0,0,1017,0,0,0,0,607,0,209,398,14467,5212,557,4351,1063,1135,0,661,288,1038,161,2,1,1,1
2021,28112,2,2021,1,279.923,4,3.2,2,,1,1,,2,2,1,1,1,70,61,12,3,4,0,1,1,1,2,0,1,1,1,0,2,3,1,2,2,1,2,1,2,1,1,2,1,1,2,1,0,0,1,0,2600000,3,5,5,0,0,0,0,6,24194,18525,20716,5669,9468,18286,0,0,2430,18286,0,2430,0,0,0,9393,8893,0,0,0,0,350,0,0,0,0,2080,0,0,0,0,2191,887,556,748,15137,1255,70,5669,1999,66,0,492,3498,1582,506,1,2,1,1
2021,28113,2,2021,1,302.903,2,2,1,,,,,,2,1,1,3,70,61,12,3,4,0,1,1,1,1,0,1,1,0,2,3,1,4,2,1,1,1,2,2,3,0,2,1,,2,1,0,0,1,0,1352382,3,3,3,0,0,0,0,6,13763,10406,10406,3357,8258,3392,0,0,7014,3392,0,7014,0,0,0,3392,0,0,0,0,0,0,1931,0,0,0,5083,0,0,0,0,0,0,0,0,11615,2189,371,3357,917,1098,0,2569,0,1025,88,1,2,1,2
2021,28114,1,2021,1,189.386,2,2,2,,,,,,2,1,1,1,70,61,12,3,4,0,1,1,1,1,0,1,1,0,2,2,1,2,2,2,1,2,1,2,0,0,2,1,1,2,1,0,0,1,0,1400000,2,3,3,0,0,0,0,6,15231,11874,12002,3357,8410,7584,0,0,4418,7584,0,4418,0,0,0,6483,1102,0,0,0,0,0,4418,0,0,0,0,0,0,0,0,129,129,0,0,11767,2795,1347,3457,684,0,0,881,281,686,1635,1,1,1,1
2021,28115,2,2021,1,329.091,7,4.75,2,1,3,1,,5,2,1,1,1,70,61,12,3,4,0,1,1,1,1,0,0,1,1,1,0,1,4,2,2,1,2,2,2,0,0,2,2,,2,1,0,0,,0,,,3,3,1,0,1,2,1,9646,9646,10022,0,12820,8015,0,0,2008,8015,0,2008,0,0,0,5406,2609,0,0,0,0,895,0,0,0,1113,0,0,0,0,0,376,0,43,333,12820,1255,220,153,700,634,1832,1006,3108,2864,1050,3,1,1,1
